terms      sum_up           sum_down         rel_diff      
 4032640   1.54036827e+01   1.57871494e+01   2.45884247e-02
 4079296   1.54036827e+01   1.58011742e+01   2.54762564e-02
 4125952   1.54036827e+01   1.58150301e+01   2.63526160e-02
 4172608   1.54036827e+01   1.58251648e+01   2.69931238e-02
 4219264   1.54036827e+01   1.58349333e+01   2.76100952e-02
 4265920   1.54036827e+01   1.58447580e+01   2.82302294e-02
 4312576   1.54036827e+01   1.58540630e+01   2.88171973e-02
 4359232   1.54036827e+01   1.58634081e+01   2.94063427e-02
 4405888   1.54036827e+01   1.58729610e+01   3.00082285e-02
 4452544   1.54036827e+01   1.58833647e+01   3.06632947e-02
 4499200   1.54036827e+01   1.58945446e+01   3.13667543e-02
 4545856   1.54036827e+01   1.59050627e+01   3.20281088e-02
 4592512   1.54036827e+01   1.59149494e+01   3.26493643e-02
 4639168   1.54036827e+01   1.59250498e+01   3.32836360e-02
 4685824   1.54036827e+01   1.59356089e+01   3.39462794e-02
 4732480   1.54036827e+01   1.59459763e+01   3.45964544e-02
 4779136   1.54036827e+01   1.59565048e+01   3.52563001e-02
 4825792   1.54036827e+01   1.59660864e+01   3.58564109e-02
 4872448   1.54036827e+01   1.59773054e+01   3.65586132e-02
 4919104   1.54036827e+01   1.59878702e+01   3.72194089e-02
 4965760   1.54036827e+01   1.59990444e+01   3.79178338e-02
 5012416   1.54036827e+01   1.60111122e+01   3.86715569e-02
 5059072   1.54036827e+01   1.60209980e+01   3.92885655e-02
 5105728   1.54036827e+01   1.60280075e+01   3.97258177e-02
 5152384   1.54036827e+01   1.60348663e+01   4.01534848e-02
 5199040   1.54036827e+01   1.60420513e+01   4.06012833e-02
 5245696   1.54036827e+01   1.60491600e+01   4.10441309e-02
 5292352   1.54036827e+01   1.60564098e+01   4.14955616e-02
 5339008   1.54036827e+01   1.60641117e+01   4.19749133e-02
 5385664   1.54036827e+01   1.60719833e+01   4.24645916e-02
 5432320   1.54036827e+01   1.60806503e+01   4.30034585e-02
 5478976   1.54036827e+01   1.60899925e+01   4.35839780e-02
 5525632   1.54036827e+01   1.60991859e+01   4.41549160e-02
 5572288   1.54036827e+01   1.61091080e+01   4.47707251e-02
