# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
18.900000 -6.076353e-03 -6.076353e-03 -6.076353e-03  1.641554e-15  2.283901e-15  6.423471e-16
19.000000 -1.243850e-03 -1.243850e-03 -1.243850e-03  2.109393e-14  2.065811e-14  4.358250e-16
19.100000  3.546623e-03  3.546623e-03  3.546623e-03  3.729539e-15  5.258038e-15  1.528499e-15
19.200000  8.262542e-03  8.262542e-03  8.262542e-03  1.049752e-15  5.248759e-16  5.248759e-16
19.300000  1.287193e-02  1.287193e-02  1.287193e-02  4.716878e-16  1.078143e-15  1.549831e-15
19.400000  1.734359e-02  1.734359e-02  1.734359e-02  0.000000e+00  7.001471e-16  7.001471e-16
19.500000  2.164732e-02  2.164732e-02  2.164732e-02  8.013571e-17  0.000000e+00  8.013571e-17
19.600000  2.575414e-02  2.575414e-02  2.575414e-02  2.694283e-16  1.279784e-15  1.010356e-15
19.700000  2.963649e-02  2.963649e-02  2.963649e-02  0.000000e+00  3.512002e-16  3.512002e-16
19.800000  3.326845e-02  3.326845e-02  3.326845e-02  1.042864e-16  2.085728e-16  1.042864e-16
19.900000  3.662589e-02  3.662589e-02  3.662589e-02  9.472663e-17  1.894533e-16  9.472663e-17
20.000000  3.968670e-02  3.968670e-02  3.968670e-02  8.742090e-17  0.000000e+00  8.742090e-17
20.100000  4.243092e-02  4.243092e-02  4.243092e-02  0.000000e+00  0.000000e+00  0.000000e+00
20.200000  4.484089e-02  4.484089e-02  4.484089e-02  1.547448e-16  1.547448e-16  0.000000e+00
20.300000  4.690139e-02  4.690139e-02  4.690139e-02  0.000000e+00  4.438393e-16  4.438393e-16
20.400000  4.859976e-02  4.859976e-02  4.859976e-02  2.141645e-16  2.141645e-16  0.000000e+00
20.500000  4.992598e-02  4.992598e-02  4.992598e-02  0.000000e+00  6.949182e-17  6.949182e-17
20.600000  5.087275e-02  5.087275e-02  5.087275e-02  1.363971e-16  1.363971e-16  0.000000e+00
20.700000  5.143556e-02  5.143556e-02  5.143556e-02  6.745230e-17  2.023569e-16  1.349046e-16
20.800000  5.161273e-02  5.161273e-02  5.161273e-02  3.361038e-16  1.344415e-16  2.016623e-16
20.900000  5.140538e-02  5.140538e-02  5.140538e-02  0.000000e+00  0.000000e+00  0.000000e+00
21.000000  5.081747e-02  5.081747e-02  5.081747e-02  0.000000e+00  6.827272e-17  6.827272e-17
21.100000  4.985577e-02  4.985577e-02  4.985577e-02  0.000000e+00  0.000000e+00  0.000000e+00
21.200000  4.852977e-02  4.852977e-02  4.852977e-02  2.144733e-16  9.293843e-16  7.149110e-16
21.300000  4.685166e-02  4.685166e-02  4.685166e-02  1.481035e-16  7.405174e-17  2.221552e-16
21.400000  4.483620e-02  4.483620e-02  4.483620e-02  7.738049e-17  4.642829e-16  3.869024e-16
21.500000  4.250062e-02  4.250062e-02  4.250062e-02  8.163285e-17  0.000000e+00  8.163285e-17
